Row#,Code,Description,Active
169,PA TO ED,PA TO EXECUTIVE DIRECTOR,TRUE
170,PA TO MD,PERSONAL ASSISTANT TO MANAGING DIRECTOR,TRUE
171,PACK OPT,PACKING OPERATOR,TRUE
172,PART TIMER,PART TIMER,TRUE
173,PARTIMER,PARTIMER,TRUE
174,PLAN EX,PLANNER EXECUTIVE,TRUE
175,PLANNER,PRODUCTION PLANNER,TRUE
176,PLANT REAC,PLANT REACTOR TECHNICIAN,TRUE
177,PLNT MNGR,PLANT MANAGER,TRUE
178,PRO ASS,PROCESS ASSISTANT,TRUE
179,PRO ENG,PROCESS ENGINEER,TRUE
180,PRO MGR,PROCESS MANAGER,TRUE
181,PRO OPT,PROCESS OPERATOR,TRUE
182,PRO WEB EG,PROJECT WEB ENGINEER,TRUE
183,PROC ASST,PROCUREMENT ASSISTANT,TRUE
184,PROC EXEC,PROCUREMENT EXECUTIVE,TRUE
185,PROCU CLK,PROCUREMENT CLERK,TRUE
186,PROD AST,PRODUCTION ASSISTANT,TRUE
187,PROD CLERK,PRODUCTION CLERK,TRUE
188,PROD CLRK,PRODUCTION CLERK,TRUE
189,PROD ENG,PRODUCTION ENGINEER,TRUE
190,PROD EXEC,PRODUCTION EXECUTIVE,TRUE
191,PROD MGR,PRODUCTION MANAGER,TRUE
192,PROD PLAN,PRODUCTION PLANNER,TRUE
193,PROD SPVS,PRODUCTION SUPERVISOR,TRUE
194,PROD TECH,PRODUCTION TECHNICIAN,TRUE
195,PROJ ENG,PROJECT ENGINEER,TRUE
196,PROJ EXEC,PROJECT EXECUTIVE,TRUE
197,PROJ SPVR,PROJECT SUPERVISOR,TRUE
198,PT,PART TIMER,TRUE
199,PURCH AST,PURCHASING ASSISTANT,TRUE
200,PURCH CLK,PERCHASING CLERK,TRUE
201,PURCH EXEC,PURCHASING EXECUTIVE,TRUE
202,PURCH MGR,PURCHASING MANAGER,TRUE
203,Q & R ENG,QAC & RND ENGINEER,TRUE
204,QA,QUALITY ASSURANCE,TRUE
205,QA CLR,QA CLERK CUM LAB ASSISTANT,TRUE
206,QA EXEC,QA EXECUTIVE,TRUE
207,QA MNG,QA MANAGER,TRUE
208,QAC EXEC,QAC EXECUTIVE,TRUE
209,QAC JNR EX,QAC JUNIOR EXECUTIVE,TRUE
210,QAC MGR,QAC MANAGER,TRUE
211,QC ASSIST,QUALITY CONTROL ASSISTANT,TRUE
212,QC EXEC,QC+CEPSWAM EXECUTIVE,TRUE
213,QC OFFICER,QUALITY CONTROL OFFICER,TRUE
214,QC QMR,QUALITY CONTROL CUM QMR,TRUE
215,R&D CHEMST,R&D CHEMIST,TRUE
216,R&D ENGIN,R&D ENGINEER,TRUE
217,R&D M,R&D cum Process Technical Manager,TRUE
218,REAC OPT,REACTOR OPERATOR,TRUE
219,REAC TECH,REACTOR TECHNICIAN,TRUE
220,RECEPTION,RECEPTIONIST,TRUE
221,REGMGR,REGION SALES MANAGER,TRUE
222,RGN SL EXE,REGIONAL SALES EXECUTIVE,TRUE
223,RGSLMGR,REGIONAL SALES MANAGER,TRUE
224,RND ENG,RND ENGINEER,TRUE
225,RND MGR,RND MANAGER,TRUE
226,RND QAC,RND & QUALITY ASSURANCE MANAGER,TRUE
227,RND TECH,RESEARCH & DEVELOPMENT TECHNICIAN,TRUE
228,S OP PR EN,SENIOR OPERATION PROJECT ENGINEER,TRUE
229,SALES,SALES ADMIN EXECUTIVE,TRUE
230,SALES COOR,SALES COORDINATOR CUM PRODUCTION ASSTN,TRUE
231,SALES REP,SALES REPRESENTATIVE,TRUE
232,SEC,SECRETARY TO MD,TRUE
233,SHIP EXEC,SHIPPING EXECUTIVE,TRUE
234,SHIPG AST,SHIPPING ASSISTANT,TRUE
235,SITE SPVR,SITE SUPERVISOR,TRUE
236,SL COOR,SALES COORDINATOR,TRUE
237,SL OPS EXE,SALES OPERATIONS EXECUTIVE,TRUE
238,SL OPS TRA,SALES OPERATION EXECUTIVE TRAINEE,TRUE
239,SLEXEC,SALES EXECUTIVE,TRUE
240,SLMGR,SALES MANAGER,TRUE
241,SLREP,SALES REPRESENTATIVE,TRUE
242,SLS ADM,SALES ADMINISTRATOR,TRUE
